return_id,order_id,return_date,return_reason,return_amount,refund_method,return_status
RET00072,ORD0000673,2022-02-18,Defective Product,1290.0,Credit Card,Refunded
RET00073,ORD0000686,2023-07-21,Duplicate Order,170.0,Fawry,Refunded
RET00074,ORD0000695,2024-12-23,Defective Product,142.5,Cash,Refunded
RET00075,ORD0000696,2022-01-21,Size Issue,816.0,Fawry,Refunded
RET00076,ORD0000706,2024-04-14,Duplicate Order,10560.0,Debit Card,Pending
RET00077,ORD0000709,2023-07-13,Size Issue,730.0,Credit Card,Refunded
RET00078,ORD0000724,2023-02-05,Duplicate Order,1318.5,Cash,Refunded
RET00079,ORD0000739,2023-12-09,Duplicate Order,240.0,Credit Card,Refunded
RET00080,ORD0000752,2024-10-22,Wrong Item Delivered,972.0,InstaPay,Pending
RET00081,ORD0000758,2023-12-07,Defective Product,540.0,Fawry,Refunded
RET00082,ORD0000767,2022-05-11,Duplicate Order,288.0,Cash,Rejected
RET00083,ORD0000776,2023-08-15,Changed Mind,470.0,Vodafone Cash,Refunded
RET00084,ORD0000787,2023-11-24,Size Issue,1364.0,Debit Card,Refunded
RET00085,ORD0000792,2023-01-06,Size Issue,603.5,Credit Card,Pending
RET00086,ORD0000811,2022-10-15,Quality Issue,6925.0,Fawry,Refunded
RET00087,ORD0000819,2023-03-10,Size Issue,2234.5,Cash,Refunded
RET00088,ORD0000832,2022-08-02,Defective Product,336.0,Cash,Refunded
RET00089,ORD0000838,2024-10-26,Duplicate Order,1272.5,Fawry,Rejected
RET00090,ORD0000844,2023-01-28,Defective Product,440.0,Vodafone Cash,Refunded
RET00091,ORD0000847,2022-05-29,Quality Issue,702.0,Cash,Rejected
RET00092,ORD0000848,2022-08-11,Duplicate Order,1672.0,Cash,Refunded
RET00093,ORD0000852,2022-12-22,Quality Issue,162.0,Fawry,Refunded
RET00094,ORD0000854,2022-03-13,Defective Product,4731.5,InstaPay,Refunded
RET00095,ORD0000860,2023-07-13,Wrong Item Delivered,360.0,Fawry,Refunded
RET00096,ORD0000875,2023-04-15,Duplicate Order,664.0,Fawry,Pending
RET00097,ORD0000903,2023-11-21,Wrong Item Delivered,270.0,Cash,Refunded
RET00098,ORD0000936,2023-08-10,Wrong Item Delivered,13180.0,Credit Card,Rejected
RET00099,ORD0000957,2024-01-25,Wrong Item Delivered,432.0,Cash,Refunded
RET00100,ORD0000976,2023-05-04,Changed Mind,10200.0,Vodafone Cash,Pending
RET00101,ORD0000998,2022-08-14,Defective Product,2082.0,Debit Card,Refunded
RET00102,ORD0001018,2024-09-02,Changed Mind,1112.0,InstaPay,Refunded
RET00103,ORD0001020,2023-10-07,Duplicate Order,243.0,Fawry,Pending
RET00104,ORD0001021,2023-05-17,Defective Product,2360.0,Cash,Refunded
RET00105,ORD0001025,2024-04-25,Wrong Item Delivered,2114.0,InstaPay,Rejected
RET00106,ORD0001036,2023-01-29,Size Issue,2314.0,Credit Card,Refunded
RET00107,ORD0001078,2023-08-19,Changed Mind,572.5,Credit Card,Refunded
RET00108,ORD0001081,2022-12-25,Size Issue,2994.0,Debit Card,Refunded
RET00109,ORD0001089,2022-09-22,Wrong Item Delivered,1032.0,Debit Card,Refunded
RET00110,ORD0001106,2024-04-04,Size Issue,28760.0,Credit Card,Rejected
RET00111,ORD0001109,2022-02-10,Size Issue,776.0,Debit Card,Rejected
RET00112,ORD0001110,2023-03-24,Changed Mind,580.0,Fawry,Refunded
RET00113,ORD0001132,2024-06-10,Wrong Item Delivered,957.0,Fawry,Pending
RET00114,ORD0001152,2023-03-09,Quality Issue,683.0,Debit Card,Refunded
RET00115,ORD0001168,2023-04-18,Quality Issue,582.0,InstaPay,Refunded
RET00116,ORD0001170,2022-06-29,Quality Issue,19272.0,Credit Card,Refunded
RET00117,ORD0001171,2023-11-03,Duplicate Order,450.5,InstaPay,Refunded
RET00118,ORD0001185,2023-03-08,Duplicate Order,160.0,Fawry,Refunded
RET00119,ORD0001191,2022-05-14,Defective Product,180.5,InstaPay,Refunded
RET00120,ORD0001212,2022-07-26,Size Issue,360.0,Cash,Refunded
RET00121,ORD0001213,2022-11-20,Quality Issue,880.0,Fawry,Refunded
RET00122,ORD0001214,2024-09-24,Duplicate Order,1380.0,Debit Card,Refunded
RET00123,ORD0001219,2024-01-13,Duplicate Order,627.0,Cash,Pending
RET00124,ORD0001220,2023-07-24,Size Issue,2431.5,Debit Card,Refunded
RET00125,ORD0001232,2023-02-24,Duplicate Order,2829.0,Vodafone Cash,Refunded
RET00126,ORD0001236,2022-12-31,Changed Mind,270.0,Credit Card,Pending
RET00127,ORD0001255,2023-11-08,Size Issue,6502.0,Cash,Refunded
RET00128,ORD0001276,2022-09-05,Size Issue,540.0,Debit Card,Refunded
RET00129,ORD0001280,2023-05-06,Duplicate Order,515.0,Debit Card,Refunded
RET00130,ORD0001287,2022-04-24,Duplicate Order,10240.0,Credit Card,Rejected
RET00131,ORD0001331,2024-07-28,Size Issue,456.0,Vodafone Cash,Refunded
RET00132,ORD0001336,2022-07-26,Duplicate Order,432.0,Fawry,Refunded
RET00133,ORD0001351,2022-09-09,Duplicate Order,12155.0,Fawry,Refunded
RET00134,ORD0001356,2023-12-18,Duplicate Order,504.0,InstaPay,Pending
RET00135,ORD0001374,2023-09-12,Defective Product,2140.0,Cash,Refunded
RET00136,ORD0001376,2022-11-14,Size Issue,3040.0,InstaPay,Refunded
RET00137,ORD0001401,2023-04-13,Quality Issue,266.0,Vodafone Cash,Refunded
RET00138,ORD0001403,2024-10-14,Wrong Item Delivered,504.0,InstaPay,Refunded
RET00139,ORD0001407,2022-03-03,Duplicate Order,270.0,Credit Card,Refunded
RET00140,ORD0001408,2022-01-17,Duplicate Order,243.0,Credit Card,Refunded
RET00141,ORD0001421,2023-03-31,Size Issue,1038.0,Credit Card,Refunded
RET00142,ORD0001430,2023-04-06,Changed Mind,2996.0,Vodafone Cash,Refunded
RET00143,ORD0001448,2024-09-01,Wrong Item Delivered,551.0,Cash,Refunded
RET00144,ORD0001449,2022-10-28,Changed Mind,1000.0,Fawry,Refunded
RET00145,ORD0001459,2024-06-06,Size Issue,1200.0,Credit Card,Refunded
RET00146,ORD0001461,2024-07-30,Changed Mind,15494.0,Fawry,Refunded
RET00147,ORD0001467,2024-05-23,Defective Product,280.0,Fawry,Refunded
RET00148,ORD0001470,2022-02-22,Size Issue,2857.0,InstaPay,Refunded
RET00149,ORD0001494,2022-12-18,Quality Issue,700.0,Cash,Refunded
RET00150,ORD0001499,2022-12-14,Duplicate Order,252.0,Credit Card,Refunded
RET00151,ORD0001502,2023-05-07,Changed Mind,26660.0,Vodafone Cash,Refunded
RET00152,ORD0001503,2022-07-03,Changed Mind,199.5,Debit Card,Refunded
RET00153,ORD0001504,2023-09-03,Quality Issue,3980.0,Vodafone Cash,Pending
RET00154,ORD0001520,2022-03-03,Duplicate Order,1030.0,Debit Card,Refunded
RET00155,ORD0001523,2022-10-11,Wrong Item Delivered,272.0,Debit Card,Refunded
RET00156,ORD0001524,2022-02-03,Size Issue,1230.0,Fawry,Refunded
RET00157,ORD0001546,2024-01-12,Quality Issue,578.0,Fawry,Refunded
RET00158,ORD0001594,2022-11-19,Wrong Item Delivered,807.0,Cash,Refunded
RET00159,ORD0001612,2024-01-03,Wrong Item Delivered,530.0,Fawry,Rejected
RET00160,ORD0001613,2023-05-04,Size Issue,714.0,Debit Card,Refunded
RET00161,ORD0001615,2024-05-06,Wrong Item Delivered,612.0,Cash,Pending
RET00162,ORD0001633,2024-10-03,Quality Issue,2235.0,Cash,Refunded
RET00163,ORD0001634,2024-04-18,Duplicate Order,822.0,Credit Card,Pending
RET00164,ORD0001647,2024-05-14,Wrong Item Delivered,3220.0,Debit Card,Refunded
RET00165,ORD0001649,2024-07-24,Duplicate Order,14775.0,Fawry,Pending
RET00166,ORD0001652,2023-10-31,Duplicate Order,370.0,Credit Card,Pending
RET00167,ORD0001653,2022-08-05,Wrong Item Delivered,1532.0,Cash,Refunded
RET00168,ORD0001673,2022-10-03,Defective Product,610.0,Fawry,Refunded
RET00169,ORD0001691,2023-07-18,Wrong Item Delivered,4222.0,Vodafone Cash,Refunded
RET00170,ORD0001698,2024-09-27,Duplicate Order,2340.0,InstaPay,Refunded
RET00171,ORD0001712,2023-10-31,Quality Issue,10900.0,Fawry,Refunded
RET00172,ORD0001729,2023-12-16,Changed Mind,966.0,Cash,Refunded
RET00173,ORD0001732,2024-10-10,Duplicate Order,520.0,InstaPay,Pending
RET00174,ORD0001735,2022-05-11,Quality Issue,144.0,InstaPay,Refunded
RET00175,ORD0001744,2024-03-01,Size Issue,3148.0,Credit Card,Pending
RET00176,ORD0001745,2023-06-19,Size Issue,142.5,InstaPay,Pending
RET00177,ORD0001752,2023-09-18,Duplicate Order,15029.0,Vodafone Cash,Refunded
RET00178,ORD0001779,2024-04-12,Size Issue,105.0,Debit Card,Pending
RET00179,ORD0001788,2022-01-24,Wrong Item Delivered,1664.0,Vodafone Cash,Refunded
RET00180,ORD0001792,2024-11-07,Duplicate Order,1167.0,Cash,Refunded
RET00181,ORD0001795,2024-04-26,Duplicate Order,1965.5,Cash,Rejected
RET00182,ORD0001801,2022-04-27,Changed Mind,9960.0,InstaPay,Refunded
RET00183,ORD0001825,2022-03-30,Defective Product,3980.0,Vodafone Cash,Pending
RET00184,ORD0001831,2022-12-01,Duplicate Order,675.0,Cash,Refunded
RET00185,ORD0001838,2024-11-03,Changed Mind,1860.0,Vodafone Cash,Refunded
RET00186,ORD0001850,2023-12-06,Changed Mind,1175.0,Vodafone Cash,Refunded
RET00187,ORD0001855,2023-09-20,Size Issue,504.0,Credit Card,Refunded
RET00188,ORD0001856,2022-12-01,Defective Product,140.0,Debit Card,Pending
RET00189,ORD0001861,2024-09-14,Quality Issue,2500.0,Credit Card,Refunded
RET00190,ORD0001873,2022-12-29,Changed Mind,160.0,Debit Card,Refunded
RET00191,ORD0001888,2022-08-26,Quality Issue,440.0,Cash,Pending
RET00192,ORD0001906,2022-04-22,Changed Mind,345.0,Credit Card,Refunded
RET00193,ORD0001908,2023-07-03,Wrong Item Delivered,336.0,Vodafone Cash,Refunded
RET00194,ORD0001909,2024-07-03,Defective Product,350.0,InstaPay,Pending
RET00195,ORD0001921,2024-11-09,Defective Product,460.0,Cash,Refunded
RET00196,ORD0001922,2024-07-16,Wrong Item Delivered,1000.0,Debit Card,Refunded
RET00197,ORD0001923,2022-01-09,Duplicate Order,2199.5,Debit Card,Rejected
RET00198,ORD0001932,2024-04-13,Quality Issue,306.0,InstaPay,Pending
RET00199,ORD0001956,2024-01-06,Duplicate Order,142.5,Vodafone Cash,Refunded
RET00200,ORD0001962,2023-05-14,Size Issue,357.0,Fawry,Refunded
RET00201,ORD0001981,2023-08-12,Size Issue,1560.0,Credit Card,Refunded
RET00202,ORD0001986,2024-05-12,Defective Product,342.0,InstaPay,Refunded
RET00203,ORD0001990,2023-09-14,Defective Product,247.0,Vodafone Cash,Refunded
RET00204,ORD0001991,2023-05-14,Duplicate Order,4178.0,Cash,Refunded
RET00205,ORD0001995,2022-11-06,Duplicate Order,545.5,Vodafone Cash,Refunded
RET00206,ORD0002031,2024-10-03,Duplicate Order,1150.0,Cash,Pending
RET00207,ORD0002049,2023-05-22,Quality Issue,779.0,Credit Card,Refunded
RET00208,ORD0002050,2024-11-19,Defective Product,1498.0,Vodafone Cash,Refunded
RET00209,ORD0002095,2022-11-30,Duplicate Order,550.0,Debit Card,Refunded
RET00210,ORD0002103,2024-06-13,Duplicate Order,40500.0,Debit Card,Refunded
RET00211,ORD0002105,2023-01-13,Duplicate Order,135.0,Debit Card,Refunded
RET00212,ORD0002124,2023-10-09,Duplicate Order,2055.0,InstaPay,Refunded
RET00213,ORD0002156,2024-05-17,Changed Mind,828.0,Credit Card,Refunded
RET00214,ORD0002164,2022-02-03,Size Issue,2598.0,Fawry,Refunded
RET00215,ORD0002185,2024-03-12,Quality Issue,207.0,Vodafone Cash,Refunded
RET00216,ORD0002191,2024-11-24,Quality Issue,735.0,Credit Card,Refunded
RET00217,ORD0002198,2024-12-05,Defective Product,95.0,Cash,Refunded
RET00218,ORD0002200,2023-01-13,Changed Mind,126.0,Cash,Pending
RET00219,ORD0002237,2024-02-24,Changed Mind,288.0,Vodafone Cash,Refunded
RET00220,ORD0002239,2023-02-08,Defective Product,1080.0,Cash,Refunded
RET00221,ORD0002244,2023-03-07,Defective Product,1230.0,Vodafone Cash,Refunded
RET00222,ORD0002245,2024-01-21,Size Issue,1876.0,Credit Card,Refunded
RET00223,ORD0002256,2022-09-09,Size Issue,2228.0,Credit Card,Refunded
RET00224,ORD0002269,2022-10-05,Size Issue,540.0,Credit Card,Refunded
RET00225,ORD0002270,2022-05-13,Wrong Item Delivered,18024.0,Cash,Refunded
RET00226,ORD0002276,2024-02-25,Size Issue,2415.5,Fawry,Refunded
RET00227,ORD0002313,2024-06-16,Duplicate Order,247.0,Credit Card,Refunded
RET00228,ORD0002336,2022-10-04,Defective Product,2130.0,InstaPay,Pending
RET00229,ORD0002348,2022-05-26,Size Issue,1350.0,Fawry,Refunded
RET00230,ORD0002358,2023-03-20,Quality Issue,7356.0,Vodafone Cash,Refunded
RET00231,ORD0002366,2022-04-20,Duplicate Order,560.0,Cash,Refunded
RET00232,ORD0002384,2022-07-16,Wrong Item Delivered,220.0,Debit Card,Refunded
RET00233,ORD0002406,2022-10-06,Size Issue,606.0,Fawry,Refunded
RET00234,ORD0002410,2023-02-15,Defective Product,1500.0,Credit Card,Refunded
RET00235,ORD0002428,2024-06-04,Duplicate Order,1627.0,Credit Card,Refunded
RET00236,ORD0002430,2023-12-16,Quality Issue,549.0,Cash,Refunded
RET00237,ORD0002447,2023-01-31,Changed Mind,781.0,Vodafone Cash,Refunded
RET00238,ORD0002448,2022-07-12,Defective Product,2440.0,Cash,Pending
RET00239,ORD0002450,2023-02-08,Size Issue,1139.0,InstaPay,Refunded
RET00240,ORD0002478,2022-10-04,Changed Mind,50220.0,Vodafone Cash,Refunded
RET00241,ORD0002489,2023-09-04,Changed Mind,300.0,Vodafone Cash,Refunded
RET00242,ORD0002516,2024-11-23,Duplicate Order,3070.0,Vodafone Cash,Refunded
RET00243,ORD0002525,2023-12-15,Quality Issue,128.0,Vodafone Cash,Refunded
RET00244,ORD0002527,2022-01-10,Duplicate Order,140.0,Credit Card,Refunded
RET00245,ORD0002529,2024-06-16,Changed Mind,2333.0,Vodafone Cash,Refunded
RET00246,ORD0002530,2024-07-01,Duplicate Order,1846.0,Fawry,Refunded
RET00247,ORD0002549,2022-02-20,Wrong Item Delivered,612.0,Cash,Refunded
RET00248,ORD0002555,2022-12-23,Wrong Item Delivered,1111.0,Vodafone Cash,Rejected
RET00249,ORD0002580,2022-11-10,Size Issue,2160.0,Vodafone Cash,Refunded
RET00250,ORD0002588,2023-12-09,Duplicate Order,361.0,Fawry,Refunded
RET00251,ORD0002592,2024-10-28,Duplicate Order,1904.5,InstaPay,Refunded
RET00252,ORD0002619,2022-02-26,Quality Issue,171.0,Credit Card,Refunded
RET00253,ORD0002642,2024-03-24,Quality Issue,1390.0,Debit Card,Refunded
RET00254,ORD0002646,2023-04-04,Duplicate Order,800.0,Debit Card,Refunded
RET00255,ORD0002650,2022-09-23,Defective Product,1260.0,Credit Card,Pending
RET00256,ORD0002661,2022-04-26,Wrong Item Delivered,982.0,Credit Card,Pending
RET00257,ORD0002667,2024-05-28,Quality Issue,1888.0,Fawry,Refunded
RET00258,ORD0002675,2022-07-09,Wrong Item Delivered,432.0,Vodafone Cash,Pending
RET00259,ORD0002697,2024-10-28,Defective Product,2360.0,InstaPay,Refunded
RET00260,ORD0002704,2024-10-07,Size Issue,144.0,Credit Card,Refunded
RET00261,ORD0002761,2023-11-15,Defective Product,360.0,Fawry,Refunded
RET00262,ORD0002770,2023-04-21,Quality Issue,861.0,Debit Card,Refunded
RET00263,ORD0002780,2022-11-28,Changed Mind,280.0,InstaPay,Refunded
RET00264,ORD0002784,2024-01-28,Wrong Item Delivered,140.0,Debit Card,Refunded
RET00265,ORD0002787,2024-07-10,Size Issue,1367.5,Credit Card,Refunded
RET00266,ORD0002832,2024-01-25,Defective Product,1581.0,InstaPay,Refunded
RET00267,ORD0002836,2024-12-16,Changed Mind,13339.5,InstaPay,Refunded
RET00268,ORD0002840,2024-11-03,Changed Mind,1040.0,Debit Card,Refunded
RET00269,ORD0002846,2024-05-13,Changed Mind,1600.0,InstaPay,Refunded
RET00270,ORD0002860,2023-03-13,Size Issue,254.0,Cash,Refunded
RET00271,ORD0002861,2024-01-07,Changed Mind,5302.0,Credit Card,Rejected
RET00272,ORD0002872,2023-08-10,Defective Product,689.0,Debit Card,Rejected
RET00273,ORD0002883,2024-08-27,Duplicate Order,9045.0,Debit Card,Pending
RET00274,ORD0002906,2023-03-19,Size Issue,1054.0,Credit Card,Refunded
RET00275,ORD0002908,2023-09-25,Changed Mind,780.0,Fawry,Refunded
RET00276,ORD0002931,2024-01-31,Quality Issue,1180.0,Vodafone Cash,Refunded
RET00277,ORD0002971,2023-03-18,Wrong Item Delivered,14250.0,Debit Card,Pending
RET00278,ORD0002983,2024-12-05,Duplicate Order,912.0,Cash,Refunded
RET00279,ORD0003013,2022-06-16,Quality Issue,674.5,InstaPay,Refunded
RET00280,ORD0003014,2023-01-07,Size Issue,541.5,Debit Card,Refunded
RET00281,ORD0003021,2023-10-20,Defective Product,1244.0,Cash,Refunded
RET00282,ORD0003024,2024-12-16,Size Issue,413.0,Credit Card,Refunded
RET00283,ORD0003046,2024-12-24,Size Issue,5864.0,InstaPay,Refunded
RET00284,ORD0003047,2024-05-09,Quality Issue,15900.0,Cash,Refunded
RET00285,ORD0003050,2022-01-31,Duplicate Order,954.0,Cash,Refunded
RET00286,ORD0003051,2022-02-23,Changed Mind,682.0,Credit Card,Pending
RET00287,ORD0003060,2023-09-01,Size Issue,2513.0,InstaPay,Pending
RET00288,ORD0003077,2023-05-23,Quality Issue,6689.0,Debit Card,Refunded
RET00289,ORD0003080,2024-12-16,Wrong Item Delivered,2920.0,Fawry,Refunded
RET00290,ORD0003092,2022-04-04,Duplicate Order,586.0,Fawry,Refunded
RET00291,ORD0003105,2022-04-25,Changed Mind,150.0,Debit Card,Refunded
RET00292,ORD0003111,2022-03-03,Wrong Item Delivered,1043.5,Vodafone Cash,Refunded
RET00293,ORD0003116,2023-02-11,Quality Issue,1269.0,Credit Card,Refunded
RET00294,ORD0003117,2024-11-15,Size Issue,31110.0,Debit Card,Refunded
RET00295,ORD0003121,2022-06-24,Quality Issue,648.0,Fawry,Refunded
RET00296,ORD0003126,2024-09-17,Wrong Item Delivered,765.0,Cash,Refunded
RET00297,ORD0003128,2022-05-30,Defective Product,210.0,Cash,Refunded
RET00298,ORD0003135,2022-08-19,Size Issue,501.5,InstaPay,Refunded
RET00299,ORD0003138,2022-06-30,Quality Issue,6459.0,Debit Card,Pending
RET00300,ORD0003146,2023-10-25,Defective Product,990.0,InstaPay,Refunded
RET00301,ORD0003147,2024-05-31,Changed Mind,408.0,Fawry,Refunded
RET00302,ORD0003153,2024-12-11,Duplicate Order,5006.5,Vodafone Cash,Refunded
RET00303,ORD0003159,2023-07-24,Duplicate Order,387.0,Credit Card,Refunded
RET00304,ORD0003179,2022-04-11,Duplicate Order,160.0,InstaPay,Refunded
RET00305,ORD0003180,2023-01-18,Quality Issue,418.0,Cash,Refunded
RET00306,ORD0003209,2022-12-01,Size Issue,1412.0,Cash,Refunded
RET00307,ORD0003220,2022-12-30,Changed Mind,260.0,Debit Card,Refunded
RET00308,ORD0003231,2022-09-06,Defective Product,450.0,Cash,Refunded
RET00309,ORD0003233,2022-05-27,Size Issue,144.0,Cash,Refunded
RET00310,ORD0003248,2024-10-30,Changed Mind,180.0,Debit Card,Pending
RET00311,ORD0003275,2023-01-26,Duplicate Order,310.0,InstaPay,Refunded
RET00312,ORD0003286,2022-02-15,Duplicate Order,280.0,Cash,Refunded
RET00313,ORD0003294,2024-06-25,Wrong Item Delivered,408.0,Cash,Refunded
RET00314,ORD0003313,2024-10-17,Defective Product,459.5,Vodafone Cash,Refunded
RET00315,ORD0003318,2024-03-12,Changed Mind,1310.0,Debit Card,Refunded
RET00316,ORD0003319,2024-09-20,Changed Mind,360.0,Cash,Refunded
RET00317,ORD0003322,2024-02-19,Wrong Item Delivered,1520.0,Fawry,Pending
RET00318,ORD0003327,2024-08-05,Defective Product,1088.0,Vodafone Cash,Refunded
RET00319,ORD0003335,2023-05-15,Duplicate Order,266.0,InstaPay,Pending
RET00320,ORD0003350,2023-07-15,Duplicate Order,1001.0,Vodafone Cash,Rejected
RET00321,ORD0003363,2022-06-30,Defective Product,602.0,Cash,Rejected
RET00322,ORD0003426,2022-09-02,Size Issue,5584.0,Credit Card,Refunded
RET00323,ORD0003431,2023-10-18,Wrong Item Delivered,288.0,InstaPay,Refunded
RET00324,ORD0003445,2024-09-28,Duplicate Order,530.0,Vodafone Cash,Refunded
RET00325,ORD0003456,2023-03-02,Wrong Item Delivered,400.0,Vodafone Cash,Refunded
RET00326,ORD0003466,2024-12-28,Duplicate Order,45450.0,Cash,Refunded
RET00327,ORD0003471,2023-06-30,Size Issue,972.5,InstaPay,Refunded
RET00328,ORD0003498,2022-04-27,Wrong Item Delivered,1052.0,Debit Card,Refunded
RET00329,ORD0003502,2024-11-04,Quality Issue,126.0,Debit Card,Rejected
RET00330,ORD0003531,2022-05-18,Wrong Item Delivered,18592.5,Credit Card,Rejected
RET00331,ORD0003535,2023-01-08,Wrong Item Delivered,140.0,Vodafone Cash,Refunded
RET00332,ORD0003546,2022-11-27,Changed Mind,7087.0,Cash,Refunded
